,"1 - 5,000","5,001 - 10,000","10,001 - 15,000","15,001 - 20,000","20,001 - 30,000","30,001 - 50,000","50,001 - 1,250,000"
"1 - 5,000",0.07849750983792173,0.005875040578952786,0.0004671528223156528,0.0009026342668471936,0.00022169964448878437,0.08302651686104975,0.0004117279111934567
"5,001 - 10,000",0.010530733113217257,0.06818847636919326,0.007648637734863061,0.0070152101791808195,0.0025891351338511604,0.10723136733255738,0.001227265889134342
"10,001 - 15,000",0.0037213868896331663,0.030056137517122338,0.028045005027831225,0.013777049336088743,0.002969191667260505,0.04631147216481785,0.0013222800224866782
"15,001 - 20,000",0.002937520289476393,0.023626847826947593,0.01012692304646983,0.046097690364775096,0.0067776748457999796,0.034521801784682137,0.0024941210004988243
"20,001 - 30,000",0.0016785830225579388,0.013784967180534772,0.0021774072226577036,0.019945050159544564,0.01032486915762053,0.01550313942532285,0.0034600980229142417
"30,001 - 50,000",0.04548801634243094,0.02486994940497399,0.0007759487557107453,0.0039193330007838666,0.0013301978669327062,0.20150914115141294,0.0007521952223726613
"50,001 - 1,250,000",0.0007680309112647173,0.0062788506457002145,0.00028504240005700846,0.00478237804540092,0.00458443193425022,0.0052812022455006845,0.005882958423398814
