,Model,Transformation,all_r2_scores,avg_r2_score,all_mae_scores,avg_mae_score,all_mse_scores,avg_mse_score
0,RidgeRegression,Box-Cox,[0.31244173 0.29775614 0.29550793 0.29306873 0.29774755 0.30668279],0.3005341451771871,"[-3771.76041505 -3917.71721523 -3993.95187944 -3956.85538641
 -3909.75314387 -3916.22014802]",-3911.043031335564,"[-27073282.29388071 -30353244.32964355 -30927438.29313246
 -30538006.05384455 -29902734.6048913  -29490001.64558127]",-29714117.87016231
1,GradientBoostedRegressor,Box-Cox,[0.33384078 0.32593299 0.31496798 0.32039175 0.31457061 0.33106459],0.3234614506485811,"[-3686.23266938 -3825.66230951 -3918.21960265 -3854.5912519
 -3821.73597873 -3815.96512705]",-3820.4011565364126,"[-26230673.44605667 -29135350.30512229 -30073135.53709229
 -29357706.68160541 -29186388.84664508 -28452930.3591592 ]",-28739364.195946824
2,RidgeRegression,Log Transform,[0.29117151 0.27891642 0.27586977 0.27115681 0.27718893 0.28590986],0.2800355487678033,"[-3792.74020883 -3929.18094829 -4007.24801818 -3976.74157842
 -3929.62777197 -3936.87137239]",-3928.7349830119038,"[-27910817.93439578 -31167557.90881676 -31789560.26790484
 -31484557.14493183 -30778144.58820635 -30373571.03027467]",-30584034.81242171
3,GradientBoostedRegressor,Log Transform,[0.31684804 0.30736079 0.29608664 0.30212352 0.29441476 0.31383504],0.3051114661046432,"[-3686.49739754 -3830.32608723 -3931.80425593 -3868.27478325
 -3841.10506045 -3821.83436552]",-3829.9736583192985,"[-26899779.36134112 -29938100.40558197 -30902032.61997987
 -30146857.52625074 -30044648.63998927 -29185783.16188564]",-29519533.619171437
4,RidgeRegression,Square Root,[0.32870687 0.31053415 0.31146867 0.31061922 0.31486917 0.32253089],0.3164548306728288,"[-3779.27915147 -3933.8931256  -4005.18704024 -3962.67312562
 -3913.22065278 -3922.4043936 ]",-3919.442914883952,"[-26432826.29510159 -29800937.68277125 -30226756.28617558
 -29779860.29078312 -29173675.62389175 -28815908.18117785]",-29038327.39331686
5,GradientBoostedRegressor,Square Root,[0.34909008 0.33612278 0.33609351 0.33785664 0.33403394 0.34737339],0.3400950565023777,"[-3695.27079062 -3852.6122447  -3914.62920011 -3857.80842183
 -3823.2757396  -3826.33954313]",-3828.3226566626977,"[-25630217.1985938  -28694914.66635569 -29145717.63072435
 -28603258.73345861 -28357617.43995955 -27759241.57437924]",-28031827.873911873
