,Model,Population,Accuracy Score,F1_score_macro,F1_score_weighted
0,RandomForestClassifier,all,0.6321070234113713,0.25249007454793204,0.657737868067343
1,RandomForestClassifier,194.0,0.5708281985654249,0.1920878548237815,0.5986409290531293
2,RandomForestClassifier,140.0,0.6492552234329702,0.19152480656780707,0.6705118057479821
3,RandomForestClassifier,750.0,0.29132569558101473,0.18216381227633574,0.32052906979327755
4,RandomForestClassifier,463.0,0.6300596995342125,0.20115435693217246,0.6691966211805948
5,RandomForestClassifier,302.0,0.8483159680155077,0.20281800177415585,0.8813678541513231
0,RandomForestClassifier - Upsampled,all,0.6432616296746732,0.24914289745149368,0.659789818381604
